active_from,active_to,college,height,name,position,weight,nba_3ptapg,nba_3ptpct,nba_3ptpg,nba_efgpct,nba_fg,nba_fg_per_game,nba_fga_per_game,nba_ft,nba_ft_per_g,nba_fta_p_g,nba_g_played,nba_ppg,ncaa_3ptapg,ncaa_3ptpct,ncaa_3ptpg,ncaa_efgpct,ncaa_fgapg,ncaa_fgpct,ncaa_fgpg,ncaa_ft,ncaa_ftapg,ncaa_ftpg,ncaa_games,ncaa_ppg,birth_year,career_length,bmi,age_entering_league
1968,1968,Hillsdale College,78,Bud Acton,F,210.0,,,,,0.392,1.3,3.2,0.655,0.8,1.3,23,3.3,,,,,,,,,,,,,1942.0,0,24.3,26
2013,2018,Baylor University,79,Quincy Acy,F,240.0,1.5,0.355,0.5,0.516,0.446,1.8,4.0,0.7609999999999999,0.9,1.2,325,5.0,0.1,0.429,0.0,0.6,6.0,0.602,3.6,0.708,3.6,2.5,139.0,9.8,1990.0,5,27.0,23
1976,1988,University of Oklahoma,81,Alvan Adams,C,210.0,0.0,0.133,0.0,0.498,0.498,5.8,11.6,0.7879999999999999,2.5,3.2,988,14.1,,,,,18.0,0.539,9.7,0.7020000000000001,5.6,3.9,73.0,23.4,1954.0,12,22.5,22
1971,1977,Northwestern University,78,Don Adams,F,210.0,0.1,0.0,0.0,0.402,0.402,3.5,8.7,0.741,1.8,2.5,523,8.8,,,,,,,,,,,,,1947.0,6,24.3,24
1973,1975,Gardner-Webb University,77,George Adams,F,210.0,0.1,0.235,0.0,0.499,0.49700000000000005,3.3,6.7,0.794,1.0,1.3,215,7.7,,,,,,,,,,,,,1949.0,2,24.9,24
2007,2009,University of Arizona,76,Hassan Adams,G,220.0,0.0,0.0,0.0,0.534,0.534,1.1,2.0,0.643,0.4,0.6,73,2.5,1.9,0.311,0.6,0.526,11.6,0.499,5.8,0.7040000000000001,2.7,1.9,130.0,14.0,1984.0,2,26.8,23
2015,2016,"University of California, Los Angeles",77,Jordan Adams,G,209.0,0.8,0.385,0.3,0.457,0.402,1.2,2.9,0.607,0.5,0.9,32,3.2,4.3,0.331,1.4,0.526,11.6,0.467,5.4,0.8390000000000001,5.0,4.2,69.0,16.4,1994.0,1,24.8,21
1986,1996,Boston College,70,Michael Adams,G,162.0,4.4,0.332,1.5,0.475,0.415,5.0,12.0,0.8490000000000001,3.3,3.9,653,14.7,,,,,11.3,0.47,5.3,0.75,4.3,3.2,119.0,13.9,1963.0,10,23.2,23
2014,2018,University of Pittsburgh,85,Steven Adams,C,255.0,0.0,0.0,0.0,0.585,0.585,3.6,6.1,0.5660000000000001,1.6,2.8,385,8.7,0.0,,0.0,0.564,5.5,0.5710000000000001,3.1,0.44299999999999995,2.2,1.0,32.0,7.2,1993.0,4,24.8,21
1987,1997,Syracuse University,79,Rafael Addison,F,215.0,0.6,0.282,0.2,0.466,0.449,2.4,5.4,0.772,0.7,0.9,379,5.8,,,,,11.6,0.534,6.2,0.763,3.3,2.5,126.0,14.9,1964.0,10,24.2,23
